state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,average_monthly_spend,customer_engagement_score,churn
Ohio,119,415,no,yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,0.5866386554621849,190.77,False
Nevada,86,510,no,no,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,0.5677906976744187,125.21000000000001,False
Maryland,42,408,no,no,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,1.4628571428571429,166.11,False
Nebraska,127,510,yes,no,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,0.48669291338582676,161.07999999999998,False
Ohio,123,408,no,no,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,0.4460975609756098,146.26,False
Massachusetts,98,510,no,no,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3.0,4,0.7972448979591836,195.17000000000002,True
Oklahoma,149,510,no,yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,0.4281208053691275,169.69,False
Massachusetts,160,408,no,no,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1,0.4048125000000001,169.84000000000003,False
Washington,103,415,no,no,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,0.5679611650485437,143.92000000000002,False
Hawaii,132,415,no,yes,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,0.4265909090909091,154.89999999999998,False
Colorado,137,415,no,no,0,127.0,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,0.42021897810218983,163.34999999999997,False
Florida,129,415,yes,no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,0.5382945736434108,180.26999999999998,False
Wisconsin,62,415,no,no,0,281.0,66,47.77,160.6,108,13.65,77.9,74,3.51,0.0,0,0.0,1,1.0472580645161291,168.07,False
Idaho,122,510,no,yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,0.6197540983606558,199.19000000000003,False
Wyoming,32,408,no,no,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,1.774375,146.23,False
Georgia,86,510,no,no,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,0.618139534883721,139.82,False
Florida,130,415,no,no,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,0.4574615384615385,164.84,False
Wyoming,42,408,no,no,0,146.3,84,24.87,255.9,113,21.75,45.0,117,2.03,8.0,12,2.16,1,1.2097619047619048,141.09,False
Delaware,73,415,no,no,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15.0,7,4.05,2,0.9108219178082191,162.73000000000005,False
Maine,66,408,no,yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,1.1219696969696968,199.68000000000004,False
,103,510,no,yes,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,0.4427184466019417,127.35000000000001,False
Iowa,128,408,no,no,0,158.8,75,27.0,264.8,91,22.51,270.0,77,12.15,7.6,7,2.05,1,0.497734375,171.18,False
Colorado,104,415,no,no,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,0.6085576923076923,168.52000000000004,False
Minnesota,103,415,no,no,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,0.473495145631068,112.55000000000001,False
Vermont,124,415,no,no,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12.0,2,3.24,0,0.4959677419354839,161.78,False
Arizona,87,510,no,no,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,0.4980459770114942,113.6,False
Louisiana,109,415,no,yes,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,0.5446788990825688,160.41000000000003,True
Missouri,167,415,yes,no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,0.34508982035928143,135.37,False
Maine,97,510,no,no,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,0.48360824742268044,119.85,True
Maryland,106,415,no,no,0,165.3,118,28.1,210.0,101,17.85,187.2,93,8.42,8.5,3,2.3,2,0.534622641509434,148.94,False
Vermont,125,415,no,no,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,0.38344,120.23000000000002,False
,108,408,no,yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0.6178703703703704,176.18,False
Wyoming,125,415,no,no,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8.0,2,2.16,1,0.44544000000000006,146.62999999999997,False
Virginia,89,415,no,yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,0.7792134831460673,189.16,False
Virginia,72,510,yes,yes,29,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0,0.6522222222222223,126.37999999999998,False
Connecticut,23,510,no,no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,3.715652173913043,219.89000000000001,True
Hawaii,149,510,no,no,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,0.3926174496644295,152.65,False
Wisconsin,73,415,no,no,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,0.8471232876712329,161.69,False
Maryland,61,415,no,no,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1,1.2308196721311477,192.12,True
West Virginia,161,415,no,no,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,0.31981366459627325,119.99000000000001,True
Vermont,73,408,no,no,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,0.8498630136986303,158.16,False
Utah,118,415,no,yes,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,0.38144067796610176,112.55,False
Colorado,23,408,no,no,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,2.6265217391304345,149.18,False
North Carolina,127,415,no,yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,0.32401574803149613,114.38,False
New Jersey,42,415,no,yes,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,1.279047619047619,145.92000000000002,False
Arkansas,118,415,no,no,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,0.726271186440678,224.27999999999997,True
Iowa,45,510,no,no,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2,1.057777777777778,117.86000000000001,False
Georgia,50,408,no,yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,1.5596,210.53000000000003,False
Missouri,179,510,no,no,0,287.3,123,48.84,288.0,114,24.48,266.0,112,11.97,10.5,4,2.84,0,0.49234636871508386,230.01999999999998,True
Missouri,152,408,no,no,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,0.26447368421052636,103.71000000000001,False
Wyoming,105,415,no,no,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,0.5260952380952381,150.48,False
Hawaii,72,415,no,no,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,0.610138888888889,109.58999999999999,False
Pennsylvania,52,408,no,no,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,1.3842307692307696,186.48,False
Texas,125,415,no,no,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11.0,4,2.97,1,0.45647999999999994,140.92,False
Virginia,143,510,no,no,0,110.1,113,18.72,169.0,59,14.37,166.7,94,7.5,9.2,2,2.48,1,0.30118881118881113,112.95,False
Rhode Island,65,415,no,no,0,111.0,51,18.87,219.8,84,18.68,202.0,89,9.09,4.4,14,1.19,1,0.7358461538461538,131.12,False
Wisconsin,80,415,no,no,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,0.8972500000000002,176.64000000000001,False
Mississippi,1,415,no,no,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1,47.74999999999999,116.00000000000003,False
Kentucky,60,408,no,no,0,135.4,134,23.02,205.9,85,17.5,204.0,103,9.18,7.9,4,2.13,1,0.8638333333333333,137.61,False
North Carolina,43,415,no,no,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,0.7655813953488373,79.39,False
Nevada,143,415,no,no,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0,0.3946153846153846,136.23000000000002,False
Utah,81,415,no,yes,24,130.1,117,22.12,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0,0.5941975308641975,131.85000000000002,False
Maine,205,510,no,yes,24,175.8,139,29.89,155.0,98,13.18,180.7,64,8.13,7.8,5,2.11,2,0.2600487804878049,140.65000000000003,False
Hawaii,24,415,no,no,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,2.7037499999999994,162.78999999999996,False
Ohio,74,415,no,no,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0,0.7737837837837838,151.75,False
West Virginia,77,510,no,no,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12.0,2,3.24,1,0.5457142857142857,111.54,False
Oklahoma,74,415,no,no,0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10.0,2,2.7,1,0.9444594594594594,189.83,False
Kentucky,74,510,yes,no,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,0.7051351351351351,135.89,True
Alabama,200,408,no,no,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,0.22060000000000002,110.94,False
Maryland,86,408,no,no,0,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,4,0.842325581395349,184.38000000000002,False
Nebraska,91,510,no,yes,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,0.6860439560439561,172.07000000000002,False
,76,415,no,no,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,0.7999999999999999,153.25,False
Texas,130,415,no,no,0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,0.40476923076923077,134.68,False
Ohio,56,408,no,no,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,0.8476785714285714,122.07999999999998,False
Delaware,117,415,no,no,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,0.5352991452991452,163.52,False
Iowa,63,510,no,no,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2,0.9942857142857143,171.31000000000003,False
Vermont,126,415,no,no,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,0.48817460317460315,154.73999999999998,False
Oregon,132,510,no,no,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,0.49886363636363634,168.25000000000003,False
Nevada,81,415,no,yes,28,167.9,147,28.54,190.7,105,16.21,193.0,103,8.69,9.2,6,2.48,4,0.6903703703703703,149.91000000000003,True
North Carolina,122,415,no,no,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2,0.4636065573770492,140.57000000000002,False
New Jersey,46,408,no,no,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,1.7123913043478263,203.81,True
Minnesota,150,415,no,yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1,0.3742,148.39,False
Idaho,99,408,no,no,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,0.5468686868686868,137.45,False
Alabama,87,408,no,no,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,0.804712643678161,180.89,False
Alaska,108,415,no,no,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,0.4435185185185185,132.19,False
Vermont,101,415,no,no,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,0.5742574257425742,152.47000000000003,False
Pennsylvania,53,415,no,no,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,1.0967924528301887,146.37999999999997,False
Alaska,132,415,no,yes,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,0.4412878787878788,157.91000000000003,False
California,158,510,no,no,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2,0.3660126582278481,152.84,False
Mississippi,114,415,no,yes,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,0.5020175438596491,157.89000000000001,False
Arkansas,77,415,no,yes,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,0.8107792207792208,164.92999999999998,False
Nevada,144,415,yes,no,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,0.4230555555555555,166.70999999999998,False
Alabama,91,510,no,yes,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,0.7385714285714285,173.97,False
Georgia,58,408,no,no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,0.8643103448275863,122.21000000000001,False
Arkansas,5,415,no,no,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,12.6,159.03,False
Massachusetts,97,408,no,no,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,0.7437113402061856,199.1,False
New Jersey,107,415,no,no,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,0.5681308411214954,152.49,False
Missouri,142,415,no,yes,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,0.3897183098591549,146.2,False
New York,9,408,no,yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,6.928888888888888,165.98,False
Arizona,73,415,no,no,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,0.8179452054794519,159.27,False
New Jersey,48,510,no,yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,1.3316666666666668,171.7,True
West Virginia,43,408,no,no,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,1.4711627906976743,162.77,False
New Mexico,122,408,no,yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,0.5072950819672131,169.88,True
South Carolina,93,415,no,no,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,0.6758064516129032,169.5,False
Vermont,85,415,no,no,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,0.7305882352941176,161.99,False
Tennessee,59,415,no,no,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5.0,5,1.35,3,1.056779661016949,167.16,False
Louisiana,87,415,no,no,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,0.7225287356321839,157.85,False
Ohio,137,408,no,no,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,0.35766423357664234,127.35,False
Oregon,21,510,no,yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,2.7033333333333336,159.86999999999998,False
Delaware,129,510,no,no,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,0.6555038759689923,212.53,True
Kentucky,104,415,no,no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,0.4688461538461538,120.63,False
Georgia,93,408,no,yes,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,0.5183870967741935,126.45,True
Vermont,63,415,no,no,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,1.3257142857142858,214.95000000000002,True
Oregon,161,415,no,no,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,0.30031055900621123,130.51999999999998,False
Texas,50,510,no,no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,1.188,153.33,False
Missouri,103,408,no,yes,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,0.5175728155339806,149.31,False
North Dakota,84,415,no,yes,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1,0.6296428571428572,138.82,False
Minnesota,92,510,no,no,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,0.7346739130434783,175.97,False
Nevada,77,415,no,no,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,0.801818181818182,170.14,False
New York,64,415,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,1.50234375,243.46999999999997,True
Florida,159,415,no,yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,0.2747169811320755,113.73,False
Kansas,110,415,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,0.7106363636363636,210.71999999999997,True
Nevada,138,510,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,0.3885507246376812,128.07,False
Nevada,178,408,no,no,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,0.4103932584269663,183.54,False
South Carolina,38,415,no,yes,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,1.8226315789473686,190.72,False
Michigan,50,415,no,yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,1.1218000000000001,147.20000000000002,False
Michigan,45,510,no,yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,0.7404444444444445,94.63000000000001,False
Tennessee,70,510,no,no,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,0.6802857142857144,120.51,False
New York,147,510,no,yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,0.5106802721088435,199.95,False
Nevada,94,510,no,no,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,0.5732978723404255,137.6,False
Illinois,179,510,no,no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,0.2693296089385475,127.48999999999998,False
Mississippi,116,415,no,no,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,0.5605172413793104,168.22,False
North Dakota,59,510,no,no,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,1.0532203389830508,162.03,False
North Carolina,165,415,no,no,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,0.3266666666666667,139.55,False
Michigan,133,408,no,no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,0.5660902255639098,193.13,True
Tennessee,140,415,no,no,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,0.3539285714285715,127.84000000000002,False
Vermont,93,408,no,yes,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,0.540752688172043,136.48000000000002,False
Oklahoma,52,510,no,yes,38,169.3,88,28.78,225.9,97,19.2,172.0,86,7.74,8.2,3,2.21,0,1.1140384615384618,161.92999999999998,False
Delaware,64,415,no,yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,0.8831249999999999,146.24,False
North Dakota,12,510,yes,no,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2,4.940833333333333,144.99,False
Oregon,48,415,no,no,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,1.4083333333333332,185.81000000000003,False
New York,181,408,no,no,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,0.2908839779005525,139.2,False
Missouri,168,415,no,yes,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,0.26654761904761903,127.51000000000002,False
Florida,155,415,no,no,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,0.3594838709677419,141.07999999999998,False
North Dakota,105,510,no,no,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0,0.6886666666666666,193.08,False
New York,11,415,no,no,0,143.4,130,24.38,289.4,50,24.6,194.0,100,8.73,9.7,6,2.62,2,5.484545454545455,164.92000000000002,False
North Dakota,182,415,no,no,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2,0.2663736263736264,128.33,False
New York,104,415,no,no,0,156.2,93,26.55,193.0,54,16.41,222.7,94,10.02,13.1,5,3.54,1,0.5434615384615384,144.97,False
Ohio,102,415,no,no,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0,0.42558823529411766,103.32000000000002,False
Alabama,122,415,no,no,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,0.5723770491803278,178.4,False
South Carolina,41,415,no,no,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,1.181219512195122,124.02,False
Georgia,132,415,no,no,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2,0.4634848484848485,162.75999999999996,False
Wyoming,76,415,no,no,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,0.9884210526315789,193.48999999999998,True
West Virginia,13,415,no,no,0,146.4,74,24.89,148.5,92,12.62,216.7,96,9.75,11.3,3,3.05,1,3.8699999999999997,126.74000000000001,False
Hawaii,115,415,no,yes,33,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,0.48617391304347823,149.42,False
West Virginia,67,408,no,no,0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1,0.7464179104477613,129.84,False
Louisiana,154,510,no,no,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,0.33766233766233766,133.61,False
Arkansas,100,510,no,no,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,0.48460000000000003,128.88,False
Alaska,146,510,yes,no,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,0.39458904109589044,155.41000000000003,False
,148,415,no,yes,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,0.5561486486486485,217.09,False
Alabama,67,415,no,yes,28,95.0,94,16.15,291.2,73,24.75,159.6,114,7.18,10.0,2,2.7,2,0.7579104477611941,148.32,False
Utah,161,510,yes,no,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1,0.4295652173913043,180.27,True
Kansas,70,415,no,no,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0.0,0,0.0,1,0.9470000000000001,175.93999999999997,False
Minnesota,116,510,no,no,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,0.591551724137931,176.08000000000004,False
Virginia,99,415,no,yes,42,216.0,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2,0.6937373737373738,187.30000000000004,True
Utah,87,415,no,no,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,0.5567816091954023,127.57000000000001,False
Indiana,87,510,no,no,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,0.7317241379310345,158.22000000000003,False
Connecticut,70,408,no,no,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,0.8928571428571429,162.25000000000003,False
Delaware,131,408,no,no,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,0.35083969465648857,122.28000000000002,False
Vermont,119,510,no,no,0,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10.0,1,2.7,2,0.5096638655462185,158.36,False
Missouri,119,408,no,yes,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3,0.4442857142857143,144.5,False
Rhode Island,87,510,yes,no,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,10.7,5,2.89,0,0.546206896551724,122.63000000000001,False
California,112,415,no,no,0,111.9,92,19.02,114.0,143,9.69,146.8,79,6.61,14.1,3,3.81,5,0.34937500000000005,94.96000000000001,True
Rhode Island,75,415,no,no,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,0.7132000000000001,140.19,False
Connecticut,150,510,no,no,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,0.42786666666666673,166.50000000000003,False
Indiana,161,510,no,yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,0.4449689440993788,188.13,False
Florida,91,510,yes,yes,24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,0.4943956043956044,123.27000000000001,False
Kansas,124,415,no,no,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,0.4494354838709677,145.86999999999998,False
New York,94,510,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,7.2,4,1.94,4,0.6388297872340425,151.11,False
Texas,217,408,no,no,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,0.2755760368663594,149.52000000000004,False
Rhode Island,158,510,no,no,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,0.44537974683544307,185.63000000000002,False
Nevada,102,415,no,no,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,0.5775490196078432,160.89,False
Utah,85,510,no,no,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,0.7638823529411766,171.31,False
Oklahoma,79,510,no,no,0,147.0,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,0.6617721518987342,134.20999999999998,False
Minnesota,139,510,no,yes,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,0.31100719424460427,117.34000000000002,False
North Carolina,103,415,no,no,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,0.7033009708737864,182.62,False
